# 这是本地源列表，一行一个源，格式为：频道名称,接口地址$!
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address$!
# Support setting whitelist: add  after the interface$!

华视,rtmp://f13h.mine.nu/sat/tv111
中视,rtmp://f13h.mine.nu/sat/tv091
台视,rtmp://f13h.mine.nu/sat/tv071
民视,rtmp://f13h.mine.nu/sat/tv051
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来音乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育,rtmp://f13h.mine.nu/sat/tv721
无线新闻台,https://smt.cdn6.rr.nu/smt3.2.1.php?id=inews_twn
翡翠台,https://smt.cdn6.rr.nu/smt3.2.1.php?id=jade_twn
TVB星河,https://smt.cdn6.rr.nu/smt3.2.1.php?id=Xinhe
中天新闻台,https://stream1.freetv.fun/zhong-tian-xin-wen-7.m3u8
千禧经典台,https://smt.cdn6.rr.nu/smt3.2.1.php?id=Tvbclassic
娱乐新闻台,https://smt.cdn6.rr.nu/smt3.2.1.php?id=Tvbentertainment
天映印度尼西亚,https://smt.cdn6.rr.nu/smt3.2.1.php?id=Celestial
天映经典,https://smt.cdn6.rr.nu/smt3.2.1.php?id=Celestial2
翡翠台,http://v2hcdn.jdshipin.com/jade2/jade.stream/chunklist_w10008.m3u8
无线新闻,https://smt.cdn6.rr.nu/smt3.2.1.php?id=inews_twn
TVB星河,http://v2hcdn.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w100006.m3u8
TVBS电视台,http://v2hcdn.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w6000001.m3u8
凤凰中文,https://cdn.163.dedyn.io/live/fhzw/stream.m3u8
凤凰中文,http://aktv-stream.m16tv.cfd/stream/aktv/null-3/AKTV.m3u8
凤凰资讯,https://live.cdn.com.mp/live/fhzx/stream.m3u8
凤凰资讯,http://aktv-stream.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
凤凰卫视,https://smt.cdn6.rr.nu/smt3.2.1.php?id=phoenixtv_hd
凤凰卫视,http://cdn.132.us.kg/live/fhzw/stream.m3u8
凤凰卫视,https://raw.githubusercontent.com/Guovin/iptv-api/gd/output/result.txt
翡翠台,https://live.cdn.com.mp/live/fct/stream.m3u8
翡翠台,http://aktv-stream.m16tv.cfd/stream/aktv/null/AKTV.m3u8
翡翠台,https://smt.cdn6.rr.nu/smt3.2.1.php?id=Tvbjade
翡翠台,http://aktv-stream.m16tv.cfd/stream/aktv/null-17/AKTV.m3u8$!
美亚电影,http://aktv-stream.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8
重温经典,https://live.cdn.com.mp/live/cwjd/stream.m3u8
无线新闻,https://smt.cdn6.rr.nu/smt3.2.1.php?id=inews_twn
凤凰资讯,https://live.cdn.com.mp/live/fhzx/stream.m3u8
TVB+,http://cdn.163.dedyn.io/live/tvbp/stream.m3u8
娱乐新闻台,http://v2hcdn.jdshipin.com/enew/enew.stream/chunklist_w100000003.m3u8
娱乐新闻台,http://v2hcdn.jdshipin.com/enew/enew.stream/chunklist_w1003.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
安徽卫视,http://60.208.113.114:4666/newlive/live/hls/24/live.m3u8
北京卫视,http://60.208.113.114:4666/newlive/live/hls/23/live.m3u8
天津卫视,http://60.208.113.114:4666/newlive/live/hls/25/live.m3u8

深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
北京科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
卡酷少儿,http://120.76.248.139/live/bfgd/4200000106.m3u8
辽宁都市,http://120.76.248.139/live/bfgd/4200000610.m3u8
