
揭阳综合,rtp://239.77.0.157:5146
揭阳综合高清,rtp://239.77.0.229:5146
揭阳生活,rtp://239.77.0.158:5146
揭阳生活高清,rtp://239.77.0.251:5146
汕尾新闻综合,rtp://239.77.1.189:5146
汕尾新闻综合高清,rtp://239.77.0.25:5146
汕尾文化生活,rtp://239.77.1.190:5146
汕尾文化生活高清,rtp://239.77.0.187:5146
汕头综合,rtp://239.253.43.30:5146
汕头综合,rtp://239.77.1.130:5146
汕头综合高清,rtp://239.253.43.45:5146
汕头经济,rtp://239.77.1.131:5146
汕头经济,rtp://239.253.43.43:5146
汕头经济高清,rtp://239.253.43.46:5146
汕头文旅,rtp://239.77.1.132:5146
汕头文旅,rtp://239.253.43.44:5146
汕头文旅高清,rtp://239.253.43.47:5146
