☘️广东频道,#genre#
潮州综合,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20250301
潮州综合,http://home.l-ht.cn:4000/rtp/239.253.43.70:5146
潮州综合,http://211.97.63.3:801/hls/503/index.m3u8
潮州民生,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20250301
潮州民生,http://home.l-ht.cn:4000/rtp/239.253.43.75:5146
汕头综合,http://home.l-ht.cn:4000/rtp/239.77.1.130:5146
汕头综合,http://home.l-ht.cn:4000/rtp/239.253.43.45:5146
汕头经济,http://home.zackfair1993.xyz:8686/rtp/239.253.43.46:5146
揭阳生活,http://home.l-ht.cn:4000/rtp/239.77.0.251:5146
揭阳综合,http://home.l-ht.cn:4000/rtp/239.77.0.229:5146
揭阳综合,http://dslive.grtn.cn/jyzh/sd/live.m3u8

📺央视频道,#genre#
CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-2,http://web9916.w.computerqwq.cf/jzb.php?id=cctv2&公众号
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-3,http://web9916.w.computerqwq.cf/jzb.php?id=cctv3&公众号
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-4,http://web9916.w.computerqwq.cf/jzb.php?id=cctv4o&公众号【医工学习日志】
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5,http://web9916.w.computerqwq.cf/jzb.php?id=cctv5&公众号
CCTV-6,http://goo.bkpcp.top/mg/cctv6
CCTV-6,http://web9916.w.computerqwq.cf/jzb.php?id=cctv6&公众号【医工学习日志】
CCTV-7,http://goo.bkpcp.top/mg/cctv7
CCTV-7,http://web9916.w.computerqwq.cf/jzb.php?id=cctv7&公众号【医工学习日志】
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-8,http://web9916.w.computerqwq.cf/jzb.php?id=cctv8&公众号
CCTV-9,http://goo.bkpcp.top/mg/cctv9
CCTV-9,http://web9916.w.computerqwq.cf/jzb.php?id=cctv9&公众号
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-10,http://web9916.w.computerqwq.cf/jzb.php?id=cctv10&公众号【医工学习日志】
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-11,http://web9916.w.computerqwq.cf/jzb.php?id=cctv11&公众号
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-12,http://web9916.w.computerqwq.cf/jzb.php?id=cctv12&公众号
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-14,http://web9916.w.computerqwq.cf/jzb.php?id=cctv14&公众号【医工学习日志】
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-16,https://yunmei.tv/main/cctv-16.m3u8
CCTV-17,http://goo.bkpcp.top/mg/cctv17
CCTV-17,http://web9916.w.computerqwq.cf/jzb.php?id=cctv17&公众号

📡卫视频道,#genre#
广东卫视,http://goo.bkpcp.top/mg/gdws
湖南卫视,http://web9916.w.computerqwq.cf/jzb.php?id=hunws&公众号
浙江卫视,http://goo.bkpcp.top/mg/zjws
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8<br
浙江卫视,http://116.9.204.242:9901/tsfile/live/0122_2.m3u8#http://116.9.204.242:9901/tsfile/live/0122_2.m3u8?key=txiptv&playlive=1&authid=0#http://101.66.199.243:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0#http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://124.128.73.58:9901/tsfile/live/0124_1.m3u8#http://58.17.48.228:808/hls/32/index.m3u8#http://119.32.12.17:2901/udp/224.1.100.52:11111#http://183.215.134.239:19901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.138.128.226:19901/tsfile/live/1044_1.m3u8#http://101.66.194.245:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.180.36:19901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0#http://221.2.148.205:8154/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0#http://113.25.252.226:9901/tsfile/live/0124_1.m3u8#http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8#http://112.101.78.50:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0#http://qjrhc.jydjd.top:2911/udp/224.1.100.51:11111#https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?#http://qjrhc.jydjd.top:2911/udp/224.1.100.52:11111#http://nas.hssvm.com:8888/udp/225.1.1.112:5002#http://dms.yryyj.site:8188/udp/239.76.246.182:1234#http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1748566809&sign=3b0446abb7d9cfa039abc14ae425d632
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1748581209&sign=017cf0d833d5ceddfdb36c8f74bf7535
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1748710812&sign=76ecff76d798c7e8f6b10551e1bb780a
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1748746810&sign=d0a23ee7c5d94a983cabdf9bbc12ae75
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1748800810&sign=49d78b901e8fb62d3bf9a9c9de381bf2
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1748851208&sign=78e7c79fee889d723c7efe1262100402
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1748862011&sign=b8487d721148143708d95e0c8adaaaf5
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1749020410&sign=4f3bfb71cee979ddb613f7dda81fc74f
北京卫视,http://web9916.w.computerqwq.cf/jzb.php?id=bjws&公众号
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1749024018&sign=1eedca8803f8779f09d75908557c6283
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1749024018&sign=1eedca8803f8779f09d75908557c6283
湖北卫视,http://goo.bkpcp.top/mg/hubws
