更新时间,#genre#
2024-12-30 02:51:32,url
潮汕,#genre#
汕头综合,http://113.65.5.217:85/udp/239.77.1.130:5146$1920x1080
汕头综合,http://14.19.168.64:4022/udp/239.77.1.130:5146$1920x1080
汕头综合,http://120.77.205.62:8087/rtp/239.253.43.45:5146
汕头综合,http://120.77.205.62:8087/rtp/239.253.43.30:5146
汕头综合,http://120.77.205.62:8087/rtp/239.77.1.130:5146
汕头综合高清,http://113.65.5.217:85/udp/239.77.1.130:5146$1920x1080
汕头综合高清,http://120.77.205.62:8087/rtp/239.253.43.45:5146
汕头综合高清,http://120.77.205.62:8087/rtp/239.253.43.30:5146
汕头综合高清,http://120.77.205.62:8087/rtp/239.77.1.130:5146
汕头综合高清,http://14.19.168.64:4022/udp/239.77.1.130:5146$1920x1080
汕头经济,http://14.19.168.64:4022/udp/239.77.1.131:5146$1920x1080
汕头经济,http://120.77.205.62:8087/rtp/239.253.43.43:5146
汕头经济,http://113.65.5.217:85/udp/239.77.1.131:5146$1920x1080
汕头经济,http://120.77.205.62:8087/rtp/239.253.43.46:5146
汕头经济,http://120.77.205.62:8087/rtp/239.77.1.131:5146
汕头经济高清,http://14.19.168.64:4022/udp/239.77.1.131:5146$1920x1080
汕头经济高清,http://120.77.205.62:8087/rtp/239.253.43.43:5146
汕头经济高清,http://113.65.5.217:85/udp/239.77.1.131:5146$1920x1080
汕头经济高清,http://120.77.205.62:8087/rtp/239.253.43.46:5146
汕头经济高清,http://120.77.205.62:8087/rtp/239.77.1.131:5146
汕头文旅,http://14.19.168.64:4022/udp/239.77.1.132:5146$1920x1080
汕头文旅,http://120.77.205.62:8087/rtp/239.253.43.44:5146
汕头文旅,http://113.65.5.217:85/udp/239.77.1.132:5146$1920x1080
汕头文旅,http://120.77.205.62:8087/rtp/239.253.43.47:5146
汕头文旅,http://120.77.205.62:8087/rtp/239.77.1.132:5146
汕头文旅高清,http://14.19.168.64:4022/udp/239.77.1.132:5146$1920x1080
汕头文旅高清,http://120.77.205.62:8087/rtp/239.253.43.44:5146
汕头文旅高清,http://113.65.5.217:85/udp/239.77.1.132:5146$1920x1080
汕头文旅高清,http://120.77.205.62:8087/rtp/239.253.43.47:5146
汕头文旅高清,http://120.77.205.62:8087/rtp/239.77.1.132:5146
📺央视频道,#genre#
CCTV-1,http://114.243.110.0:4000/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://123.113.249.203:8888/udp/239.3.1.129:8008$1920x1080
CCTV-1,http://123.122.163.183:19999/udp/239.3.1.129:8008$1920x1080
CCTV-1,http://nas.hssvm.com:8888/udp/225.1.1.120:5002$1920x1080
CCTV-1,http://114.249.229.24:8888/udp/239.3.1.129:8008$1920x1080
CCTV-1,http://114.252.236.205:8000/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://222.129.139.91:8888/udp/239.3.1.129:8008$1920x1080
CCTV-1,http://114.249.230.215:9888/udp/239.3.1.129:8008$1920x1080
CCTV-1,http://114.252.239.133:9876/udp/239.3.1.129:8008$1920x1080
CCTV-1,http://119.32.12.32:2901/udp/224.1.100.90:11111$1920x1080
CCTV-1,http://111.196.129.152:20000/udp/239.3.1.129:8008$1920x1080
CCTV-1,http://222.129.139.229:8888/udp/239.3.1.129:8008$1920x1080
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8$1920x1080
CCTV-1,http://123.113.187.204:8000/udp/239.3.1.129:8008$1920x1080
CCTV-1,http://221.222.162.206:8888/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://221.224.4.170:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CCTV-1,http://58.19.38.162:9901/tsfile/live/0001_2.m3u8$1920x1080
CCTV-1,http://113.15.184.196:8181/tsfile/live/0001_1.m3u8$1920x1080
CCTV-1,http://106.53.99.30/dl/bjyd.php?id=1$1920x1080
CCTV-1,http://123.166.61.70:8003/hls/11/index.m3u8$1920x1080
CCTV-1,http://42.227.88.176:9003//hls/1/index.m3u8$1920x1080
CCTV-1,http://113.220.233.47:9999/tsfile/live/0017_1.m3u8$1920x1080
